parcel_id,municipal_plot_id,conflict_count,recommended_action,explanation
P0433,M-8432,0,NO ACTION,No significant conflict detected between the available records.
P0434,M-8433,0,NO ACTION,No significant conflict detected between the available records.
P0435,M-8434,0,NO ACTION,No significant conflict detected between the available records.
P0436,M-8435,0,NO ACTION,No significant conflict detected between the available records.
P0437,M-8436,0,NO ACTION,No significant conflict detected between the available records.
P0438,M-8437,0,NO ACTION,No significant conflict detected between the available records.
P0439,M-8438,0,NO ACTION,No significant conflict detected between the available records.
P0440,M-8439,0,NO ACTION,No significant conflict detected between the available records.
P0441,M-8440,0,NO ACTION,No significant conflict detected between the available records.
P0442,M-8441,0,NO ACTION,No significant conflict detected between the available records.
P0443,M-8442,0,NO ACTION,No significant conflict detected between the available records.
P0444,M-8443,0,NO ACTION,No significant conflict detected between the available records.
P0445,M-8444,0,NO ACTION,No significant conflict detected between the available records.
P0446,M-8445,0,NO ACTION,No significant conflict detected between the available records.
P0447,M-8446,0,NO ACTION,No significant conflict detected between the available records.
P0448,M-8447,0,NO ACTION,No significant conflict detected between the available records.
P0449,M-8448,0,NO ACTION,No significant conflict detected between the available records.
P0450,M-8449,0,NO ACTION,No significant conflict detected between the available records.
P0451,M-8450,0,NO ACTION,No significant conflict detected between the available records.
P0452,M-8451,0,NO ACTION,No significant conflict detected between the available records.
P0453,M-8452,0,NO ACTION,No significant conflict detected between the available records.
P0454,M-8453,0,NO ACTION,No significant conflict detected between the available records.
P0455,M-8454,0,NO ACTION,No significant conflict detected between the available records.
P0456,M-8455,0,NO ACTION,No significant conflict detected between the available records.
P0457,M-8456,0,NO ACTION,No significant conflict detected between the available records.
P0458,M-8457,0,NO ACTION,No significant conflict detected between the available records.
P0459,M-8458,0,NO ACTION,No significant conflict detected between the available records.
P0460,M-8459,0,NO ACTION,No significant conflict detected between the available records.
P0461,M-8460,0,NO ACTION,No significant conflict detected between the available records.
P0462,M-8461,0,NO ACTION,No significant conflict detected between the available records.
P0463,M-8462,0,NO ACTION,No significant conflict detected between the available records.
P0464,M-8463,0,NO ACTION,No significant conflict detected between the available records.
P0465,M-8464,0,NO ACTION,No significant conflict detected between the available records.
P0466,M-8465,0,NO ACTION,No significant conflict detected between the available records.
P0467,M-8466,0,NO ACTION,No significant conflict detected between the available records.
P0468,M-8467,0,NO ACTION,No significant conflict detected between the available records.
P0469,M-8468,0,NO ACTION,No significant conflict detected between the available records.
P0470,M-8469,0,NO ACTION,No significant conflict detected between the available records.
P0471,M-8470,0,NO ACTION,No significant conflict detected between the available records.
P0472,M-8471,0,NO ACTION,No significant conflict detected between the available records.
P0473,M-8472,0,NO ACTION,No significant conflict detected between the available records.
P0474,M-8473,0,NO ACTION,No significant conflict detected between the available records.
P0475,M-8474,0,NO ACTION,No significant conflict detected between the available records.
P0476,M-8475,0,NO ACTION,No significant conflict detected between the available records.
P0477,M-8476,0,NO ACTION,No significant conflict detected between the available records.
P0478,M-8477,0,NO ACTION,No significant conflict detected between the available records.
P0479,M-8478,0,NO ACTION,No significant conflict detected between the available records.
P0480,M-8479,0,NO ACTION,No significant conflict detected between the available records.
P0481,M-8480,0,NO ACTION,No significant conflict detected between the available records.
P0482,M-8481,0,NO ACTION,No significant conflict detected between the available records.
P0483,M-8482,0,NO ACTION,No significant conflict detected between the available records.
P0484,M-8483,0,NO ACTION,No significant conflict detected between the available records.
P0485,M-8484,0,NO ACTION,No significant conflict detected between the available records.
P0486,M-8485,0,NO ACTION,No significant conflict detected between the available records.
P0487,M-8486,0,NO ACTION,No significant conflict detected between the available records.
P0488,M-8487,0,NO ACTION,No significant conflict detected between the available records.
P0489,M-8488,0,NO ACTION,No significant conflict detected between the available records.
P0490,M-8489,0,NO ACTION,No significant conflict detected between the available records.
P0491,M-8490,0,NO ACTION,No significant conflict detected between the available records.
P0492,M-8491,0,NO ACTION,No significant conflict detected between the available records.
P0493,M-8492,0,NO ACTION,No significant conflict detected between the available records.
P0494,M-8493,0,NO ACTION,No significant conflict detected between the available records.
P0495,M-8494,0,NO ACTION,No significant conflict detected between the available records.
P0496,M-8495,0,NO ACTION,No significant conflict detected between the available records.
P0497,M-8496,0,NO ACTION,No significant conflict detected between the available records.
P0498,M-8497,0,NO ACTION,No significant conflict detected between the available records.
P0499,M-8498,0,NO ACTION,No significant conflict detected between the available records.
P0500,M-8499,0,NO ACTION,No significant conflict detected between the available records.
